,Return_n,Total Revenue,Total Revenue : Annual Variation,Net Income,Net Income : Annual Variation,EBITDA,EBITDA : Annual Variation,Basic EPS,Basic EPS : Annual Variation,Operating Cash Flow,Operating Cash Flow : Annual Variation,Free Cash Flow,Free Cash Flow : Annual Variation,Total Assets,Total Assets : Annual Variation,Long Term Debt,Long Term Debt : Annual Variation,Total Liabilities Net Minority Interest,Total Liabilities Net Minority Interest : Annual Variation,Stockholders Equity,Stockholders Equity : Annual Variation,country_0.0,country_1.0,country_2.0,country_3.0,country_4.0,country_5.0,country_6.0,country_7.0,country_8.0,country_9.0,country_10.0,country_11.0,country_12.0,country_13.0,country_14.0,country_15.0,exchange_0.0,exchange_1.0,exchange_2.0,exchange_3.0,exchange_4.0,exchange_6.0,exchange_7.0,exchange_8.0,exchange_9.0,exchange_10.0,exchange_11.0,exchange_12.0,exchange_13.0,exchange_14.0,exchange_15.0,exchange_16.0,exchange_17.0,exchange_18.0,exchange_19.0,exchange_20.0,exchange_21.0,exchange_22.0,exchange_23.0,exchange_24.0,exchange_25.0,exchange_26.0,exchange_27.0,exchange_28.0,exchange_29.0,exchange_30.0,exchange_31.0,exchange_32.0,exchange_33.0,businessClass_0.0,businessClass_1.0,businessClass_2.0,businessClass_3.0,businessClass_4.0,businessClass_5.0,businessClass_6.0,businessClass_7.0,businessClass_8.0,businessClass_9.0,new_industry_0.0,new_industry_1.0,new_industry_2.0,new_industry_3.0,new_industry_4.0,new_industry_5.0,new_industry_6.0,new_industry_7.0,new_industry_8.0,new_industry_9.0,new_industry_10.0,new_industry_11.0,new_industry_12.0,new_industry_13.0,new_industry_14.0,new_industry_15.0,new_industry_16.0,new_industry_17.0,new_industry_18.0,new_industry_19.0,new_industry_20.0,new_industry_21.0,fte_category_1.0,fte_category_2.0,fte_category_3.0,fte_category_4.0,cap_category_1.0,cap_category_2.0,cap_category_3.0,cap_category_4.0
IE0003864109_2021,0.4204381574051565,-0.13724440716732705,-0.050023944501101085,-0.17026341436240885,-0.06945421584968292,-0.16326883267882628,0.011944410188935821,0.017112656786575076,-0.023537560647238397,-0.12016780442933357,4.555202593546663,-0.08351702163706412,-0.06618493801198655,-0.13210557518407812,-0.03952237769602713,-0.10797047112277344,-0.022678775828950618,-0.12065513725102878,-0.04857443259966818,-0.21943408121124464,-0.04020424824685438,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
IT0003173629_2021,0.23613734854932444,-0.2190455430806481,-0.04871785845375176,-0.17399286548482507,-0.022889725728940546,-0.1921880647885677,-0.011428606299917257,0.017112656786575076,-0.023537560647238397,-0.1471881075438804,0.04050822102367043,-0.10221821786233293,-0.017092790344169332,-0.11136565730917405,-0.03946743536796441,-0.13849928701713565,-0.012853273310122773,-0.09635278371967816,-0.04161006858997974,-0.2488894754323968,-0.04035363466463235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
DE0005221303_2021,0.8081731302915327,-0.2052905110207499,-0.05112351031781294,-0.15423359476621962,-0.021429045597194114,-0.1497841683446048,-0.023560174529492033,0.017356311442292598,-0.024368224336262154,-0.12315299762333148,-0.009061506471689065,-0.07722977235711817,-0.028098629982105484,-0.14244069075887095,-0.039336349157786756,-0.13844312446107088,0.10164194166042488,-0.12901876642642332,-0.03810741529848931,-0.2620505585639509,-0.040272269601281635,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
DE0005649503_2021,3.712037626865909,-0.2110851173754194,-0.043079852810936764,-0.18360705129994306,0.0027401645021160027,-0.1896134361898351,-0.003341639101909155,0.017112656786575076,-0.023537560647238397,-0.14582256725101855,0.021698545401169625,-0.10321229237452317,-0.027002047318750548,-0.14485697747999035,-0.03946707013756091,-0.13397546785405023,-0.010761394945611721,-0.12959229191897126,-0.04203516376249298,-0.2760060105884845,-0.04041668879682086,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
DK0061407699_2021,-1.287534425044766,-0.22530867941394397,-0.033668109416998854,-0.18760373768841007,-0.021296867185405046,-0.19655144336287808,-0.04078513658270141,0.017112656786575076,-0.023537560647238397,-0.1522505791599225,0.03944562754178188,-0.10752728196064555,-0.01830729962767598,-0.1463366169774235,-0.03953389666654313,-0.13849928701713565,-0.012853273310122773,-0.1308257492002181,-0.05291810612402271,-0.280037869423586,-0.04053298122420489,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
DE000A1K0201_2021,0.348566226730918,-0.19762653815713024,-0.04007139491564127,-0.1719108969703788,-0.06061311640470753,-0.18002059414819932,0.004667936790139904,0.017178928287581816,-0.10912133280292116,-0.13838908815650192,0.006270273535429354,-0.09301273814714138,-0.024359847739159002,-0.1421236381011463,-0.039394337538994774,-0.13446348729319701,-0.016057471170506835,-0.128886328108197,-0.03598470023925956,-0.2504527234708987,-0.04041216232053162,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
FI0009013403_2021,-0.5125456365450967,0.3724035174911477,-0.04945276900658296,0.3973515314750165,-0.020021394596721014,0.22093046899959587,-0.019572098164666582,0.017112656786575076,-0.023537560647238397,0.2696261720662813,0.023870062521022178,0.3747526072407323,-0.022714202522003447,-0.05463608301512077,-0.03941764131919384,-0.11354303853098012,-0.012853273310122773,-0.06553841549042877,-0.03665807839904553,0.11045895041506701,-0.04047841194726233,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
SE0000950982_2021,-0.08209312336049832,-0.2248318561999547,-0.045723519874797516,-0.1857124026417924,-0.013976707299753099,-0.19570207986957736,-0.009615507670953807,0.017123678283516696,-0.007315817911077213,-0.1513698134820027,0.07662571003129329,-0.10632865192461081,-0.015151494849270298,-0.14625551638489173,-0.039457235173802625,-0.13849928701713565,-0.012853273310122773,-0.1308109395517418,-0.043516991099114055,-0.2791617589897306,-0.04045413025514407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
SE0008241558_2021,2.5597997555150136,-0.22537463101895425,-0.04004273651520809,-0.1882315923599023,-0.020999416488885692,-0.19683558444823454,-0.0251220932300144,0.017112656786575076,-0.023537560647238397,-0.15245889539941776,0.00027059609538569545,-0.10886579158737755,-0.003917542997293382,-0.14621421396048043,-0.03915409190910812,-0.1384948503507381,-0.012853273310122773,-0.13081710384637918,-0.04575890540635507,-0.27854699581025416,-0.040114109836789626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
FI0009005961_2021,-0.3219443447563301,0.3524986155220408,-0.042285554440751424,0.5425300615048042,-0.005853792472405637,0.3966157116648392,0.001207305261712341,0.01715567981747058,0.010356628104464494,0.2406704409616517,0.056244036650462494,0.16222546372132826,-0.012153363255268486,0.0331792602790076,-0.039424998647365324,0.2712823131255381,-0.01567297834205371,-0.047128932901840274,-0.04244914700341913,1.0349610081909053,-0.04036843003954297,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
