,Return_n+1
IE0003864109_2021,-0.3547648710724889
IT0003173629_2021,-0.09886124528478002
DE0005221303_2021,0.060169754033267187
DE0005649503_2021,0.004467229450324184
DK0061407699_2021,-0.46086759748771755
DE000A1K0201_2021,0.12442611734932818
FI0009013403_2021,-0.07993197037441122
SE0000950982_2021,-0.02251435110055791
SE0008241558_2021,-0.4477593145403047
FI0009005961_2021,-0.00517532032345841
SE0013512506_2021,-0.2505794080314765
BE0003858751_2021,0.14987881009039028
IT0005162406_2021,0.014633061339642983
SE0009922164_2021,0.10293920420508579
PLSCPFL00018_2021,0.655161548051886
DE000A0XYG76_2021,0.4402455939604498
PTSCP0AM0001_2021,0.1999889115252202
PLZATRM00012_2021,0.31809497723528546
PLWRWCK00013_2021,0.5336651348150283
FR0000073272_2021,0.23397922569791807
NL0015001OJ9_2021,-0.34784096465207104
GRS802003004_2021,-0.14058477443312603
DE0005104806_2021,0.01674273927799108
FR0013240934_2021,-0.1021145369961908
SE0000119299_2021,0.03294686176079348
BE0974400328_2021,0.16683542722429998
FR0014000P11_2021,-0.35567612809776683
IT0005430951_2021,-0.1874860482691805
IT0003404214_2021,-0.02067352593732713
PLDBENR00017_2021,-0.11943006717557911
FR0000066961_2021,0.24762191985919757
PLPLTRG00038_2021,-0.18203932869907533
NO0003921009_2021,0.3366461100341601
DE000A3MQR99_2021,-0.1607214787538471
NL0015436031_2021,-0.6749446418296797
NO0010941925_2021,-0.353421725406876
SE0009581051_2021,-0.7709025675720655
DK0061414471_2021,-0.5131439802235213
BE0003846632_2021,-0.8401698601940372
NO0010609662_2021,-0.07220873071465311
DE000A2TSQH7_2021,-0.27362809211239314
FR0010461053_2021,0.06006248495546218
BE0003837540_2021,0.03588385690071948
BE0003724383_2021,0.21115805032182247
SE0016278154_2021,-0.7580663518731902
PLGTC0000037_2021,0.07459954909104008
FR0000131906_2021,0.1823866377114512
BE0974299316_2021,-0.4938600285596412
FR0014000U63_2021,-0.5862761343226492
NL0000009538_2021,-0.4074852657610918
PLGSPR000014_2021,0.8996159358521107
PLODRTS00017_2021,1.1870273148503692
FR0010291245_2021,-0.2680613579467317
IT0005469272_2021,-0.1207900714279628
NL0012650535_2021,-0.2383990398329617
PLADVPL00029_2021,-0.300643926676458
PLLCCRP00017_2021,0.10183333391999969
FR0000054132_2021,0.10803910660032878
SE0014035762_2021,-0.2525411581638829
SE0000736415_2021,-0.30397726584659146
FI0009900468_2021,-0.13974073527767963
FI0009800205_2021,-0.028802830609232805
DK0060136273_2021,0.22320421074156568
PLPZBDT00013_2021,-0.22564395020460762
IT0005349052_2021,0.11197279760452739
SE0007100599_2021,0.2806309873967461
DE0007664039_2021,-0.049106937858964805
SE0014730347_2021,-0.2524959442243806
PLSTIGR00012_2021,-0.4043038498950755
FI0009010854_2021,-0.028312496572940715
SE0011563295_2021,-0.7270965536421047
IT0005460149_2021,-0.209366311575278
FR0011052257_2021,-0.2562105951098297
LI0355147575_2021,0.2499477676199316
SE0002626861_2021,-0.029072994636813232
SE0015797873_2021,-0.4954715579570588
IT0001017851_2021,0.05153004911030638
SE0011167725_2021,0.07694224353781569
IT0005496473_2021,-0.5300984951074407
NL0012044747_2021,-0.4580253288777285
SE0020677854_2021,-0.41674565825261767
DE000A3E5C24_2021,-0.07142312071848311
FI0009900724_2021,-0.22279706998672513
FR0013143872_2021,0.21686659973348738
NO0010887565_2021,-0.4720456796136565
SE0001280355_2021,-0.3343538359617175
SE0000195810_2021,-0.2827978895569664
BE0003808251_2021,1.2162600700869337
FR0010241638_2021,0.4048324096513308
SE0004898799_2021,-0.2036873997110241
DK0010304500_2021,0.06120573621012258
IT0003492391_2021,-0.06498044091800131
SE0015407382_2021,-0.33041012546847304
NO0010714785_2021,-0.5072984030088851
IT0005274094_2021,-0.01965331833686723
FI4000153580_2021,-0.06174866577889143
NO0003078107_2021,-0.05416070889643981
FR0000064735_2021,0.12183311401557588
ES0126501131_2021,-0.016636403266443806
IT0005338675_2021,0.11956881872092928
DE000A0XFSF0_2021,-0.23873088219449393
SE0015346895_2021,-0.35501896093344365
DK0010267129_2021,-0.16366662527643053
PLZEPAK00012_2021,0.4983297171962857
IT0003828271_2021,-0.1459241065075809
IT0005433732_2021,-0.8161611922040614
IT0001127874_2021,0.09335605551743828
FI0009003727_2021,-0.196282816251825
SE0009888738_2021,-0.18965492244769663
PLMRCTR00015_2021,-0.3418811090297328
SE0011090547_2021,-0.24676686261565403
IT0005516130_2021,-0.423280920842919
FR0000039232_2021,-0.013580234118628909
SE0015812524_2021,-0.34357874594357873
IT0005037210_2021,-0.2445970172529798
DE000A255F11_2021,-0.08998684311601082
FR0004159473_2021,-0.3258367652392601
NO0010791353_2021,0.07752065137341978
SE0000454746_2021,-0.1371756533587213
SE0015192075_2021,-0.1627170957504653
ES0142090317_2021,-0.4144571875149352
SE0010714311_2021,-0.1427427734887635
SE0016075337_2021,0.629995691023766
PLZAMET00010_2021,0.1691798458603302
NO0011012502_2021,0.9291727059117867
SE0007075056_2021,0.0077879121078780755
SE0000123085_2021,0.20279120667300427
DE0007274136_2021,-0.1481056508051086
FR0013256518_2021,0.440053724213997
FR0000062101_2021,0.13397137692679398
NL0000852531_2021,-0.09102629539636281
PLCPTRT00014_2021,0.06155676568838739
FR0000038242_2021,-0.16207846200185663
PLZSTAL00012_2021,-0.12584393570875793
NO0003110603_2021,-0.031598194161888915
IT0005025355_2021,0.06810046939213638
DE000A2G9MZ9_2021,-0.0934608180618186
FI4000519202_2021,-0.1866006809243678
DE000A0V9LA7_2021,0.041526792190662576
SE0009580517_2021,-0.006784282883028708
DE000DTR0CK8_2021,0.040920542233990984
SE0016074249_2021,0.7089032850476552
NL0010391108_2021,0.9815239108779917
PLENAP000010_2021,0.12333481604018268
NO0003054108_2021,-0.03707347615968651
PLBIG0000016_2021,-0.29312723217225767
DE000A3CRRN9_2021,-0.5437613716793757
FR0000064529_2021,0.12554652598586857
ES0164180012_2021,0.08654697420171559
DK0010027671_2021,0.588698608978782
FR0000045544_2021,0.06830733490438289
DE000A0KPPR7_2021,-0.11190908825829052
DE000A0LBKW6_2021,0.2850703786926357
SE0008040653_2021,-0.32540522718825526
PLWTCHN00030_2021,1.3048739473476958
DE000A0KEXC7_2021,-0.3741245915374334
NO0010365521_2021,0.11521788683054648
FR0000036675_2021,0.15042757365101878
IT0001447785_2021,-0.5457223919605791
IT0001237053_2021,-0.27630394742994757
FR0013254851_2021,-0.32432818641467254
FR0000066672_2021,0.08383879259854798
FR0013530102_2021,-0.19680206268239622
FR0000121972_2021,-0.08288176677854112
SE0020050417_2021,0.3446605693238319
BE0003463685_2021,-0.07738812416256241
FR0000074254_2021,0.43404283027654755
SE0008091573_2021,-0.4341132719386378
NL0012747059_2021,-0.44420390202614257
DE0007016008_2021,0.1440240597619055
DE0006925001_2021,0.3063807870029552
ES0105229001_2021,0.11890237684231018
FR0011041011_2021,-0.12815913792691533
SE0000106270_2021,-0.0934001620342566
NO0006000900_2021,0.10043779101989908
FR0013015583_2021,0.08935605403394498
IT0004779515_2021,-0.1427231774073651
FR0004171346_2021,-0.190093485468847
FR0013345493_2021,0.04593085584333348
BE0003880979_2021,0.08629294029092158
DK0010219153_2021,-0.27159650000202806
SE0017486897_2021,0.014702002586549273
FR0010667147_2021,0.2414709756038781
FR0010425595_2021,-0.5740955849464123
IE00BD1RP616_2021,0.9628723333974296
DE000TRAT0N7_2021,-0.20125843325063583
AT0000609607_2021,0.03651240733490699
FI4000014238_2021,-0.019498785816801423
NO0010597883_2021,-0.7995983289061596
PLKGNRC00015_2021,-0.0017112438726128165
SE0000483943_2021,0.20970092433531898
IT0000066016_2021,-0.07890483187349642
SE0015950399_2021,-0.4108849149829251
DE000LEG1110_2021,-0.3286935661089312
PLSFNKS00011_2021,-0.02475110791064311
DE000A2GS625_2021,0.16843173549527257
FR0000039216_2021,0.11089451133385397
DK0060135978_2021,0.14935604979539238
SE0000648669_2021,-0.19386617483953092
SE0009143993_2021,-0.7989963287334716
SE0016829709_2021,-0.323942729649761
FR0000031866_2021,0.049589849062773084
FR0010383877_2021,-0.04998259850178621
IE00BLRPRP89_2021,-0.1922008947816172
SE0000312043_2021,-0.34894901189494254
DE000A1681X5_2021,-0.4199870345287896
FR0000064271_2021,0.06655553377550039
NO0010272065_2021,0.6766821481338295
NO0010196140_2021,-0.17076986840968691
SE0005731833_2021,-0.5812708351260498
DK0061027356_2021,-0.2690699053515122
DK0060101483_2021,0.9028282685682719
FR0010353888_2021,-0.07859505085609772
DK0060989911_2021,-0.2101945160156343
SE0014960373_2021,-0.25278036430082795
PTFNV1AM0002_2021,0.6426893894865545
FR0000038184_2021,0.12157831800885488
FR0000074775_2021,0.19603219725505058
SE0011337666_2021,-0.33156689712376575
FR0000131104_2021,0.08464362970476418
DK0060093607_2021,0.16589921959800638
PLAPLS000016_2021,0.22352492345603808
FR0013356755_2021,-0.16593056691220662
BE0974268972_2021,-0.1729852349504363
DK0060040913_2021,-0.1767309371645078
FR0000032526_2021,-0.3859892873145623
SE0008374383_2021,-0.09621921793600802
PLXPLUS00013_2021,0.009782976244656377
FI4000198031_2021,-0.5190493077906989
SE0010869552_2021,0.2396087528192743
FR0000124141_2021,-0.07414927115600542
IT0005239360_2021,0.1851235909681848
DE000A0LD6E6_2021,0.026334001621857978
FR0000045304_2021,-0.1192217052796036
SE0010494708_2021,-0.1343140545379962
SE0008212161_2021,0.713244101651651
IT0003153621_2021,-0.10763268107268462
FR001400AHX6_2021,2.6493560497953923
PTJMT0AE0001_2021,0.18189548039570738
PLGMNGF00017_2021,-0.021375602457724824
ES0130670112_2021,0.06658390795670438
SE0002148817_2021,-0.29636467622738893
PLIPOPM00011_2021,-0.14941530708453873
DE0005936124_2021,0.052503365309568784
FI4000322326_2021,-0.32985110288229424
NO0003087603_2021,0.22026507340367438
SE0011528017_2021,0.9283738525319055
HU0000089198_2021,-0.40426713861040464
DK0060700516_2021,-0.1073672320513421
SE0015810247_2021,-0.4069568953688456
IT0003023980_2021,-0.000932960376122921
NO0010722283_2021,-0.06314397745244521
DE0005785604_2021,-0.09048889959773992
PLCNTSL00014_2021,0.3592072322519981
SE0020354389_2021,-0.5252884196674498
FR0000065930_2021,1.1824138684664431
SE0004977692_2021,-0.23098374788710282
NO0010209331_2021,0.41864094249664985
SE0009858152_2021,0.9777650713463513
DE000A1EMG56_2021,0.303901461977216
IT0005200248_2021,0.0030146062371543825
FR0011049824_2021,-0.27561158788979456
DE0007193500_2021,-0.33381853158094066
MT0000780107_2021,-0.1208362578969153
ES0105563003_2021,0.2675439479232573
FR0000062978_2021,0.5371631308466411
FI4000476866_2021,-0.10595331930934113
FR0000033888_2021,0.28925506046430216
IT0005412298_2021,0.09069682001262248
DK0060634707_2021,-0.16434069874826943
SE0007691613_2021,-0.2689253849543283
ES0113900J37_2021,0.138754870363733
DK0060738599_2021,-0.2794484605414298
SE0017133838_2021,0.025113613993279577
DK0061677135_2021,1.1704642092970459
